,prod_path,local_path,WELL,UWI,DEPTH_REFERENCE_ID,Reference Point,Unnamed: 6,Curves,COMP,DATE,X,Y,GDAT,HZCS,LMF,APD,EPD,STRT,STOP,STEP,NULL
0,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP01I\17BP01I_induction_down_relogged.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP01I/17BP01I_induction_down_relogged.las,17BP01I,621622,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,478993.383,8335027.204,Australian Height Datum,MGA94 Zone 52,top of casing,0.905,41.75,0.635,126.005,0.01,-99999
1,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP03I\17BP03I_induction_down_relogged_run6.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP03I/17BP03I_induction_down_relogged_run6.las,17BP03I,621623,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,469012.153,8340498.65,Australian Height Datum,MGA94 Zone 52,top of casing,0.41000000000000003,109.525,0.635,48.005,0.01,-99999
2,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP04I\17BP04I_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP04I/17BP04I_induction_down.las,17BP04I,621624,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,462705.715,8344019.122,Australian Height Datum,MGA94 Zone 52,top of casing,0.54,66.47399999999999,0.635,61.025,0.01,-99999
3,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP05I\17BP05I_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP05I/17BP05I_induction_down.las,17BP05I,621625,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,461179.05,8347241.926,Australian Height Datum,MGA94 Zone 52,top of casing,0.56,41.333,0.6496,95.0096,0.01,-99999
4,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029663\RN29663_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029663/RN29663_induction_down.las,RN29663,626981,10,Top of casing Protector,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,509738.0,8297777.0,mean sea level,MGA94 Zone 52,top of casing protector,0.31,14.0,0.655,13.495,0.01,-99999
5,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN034821\RN034821_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN034821/RN034821_induction_down.las,RN034821,626984,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,514784.0,8313635.0,mean sea level,MGA94 Zone 52,top of casing,0.31,14.0,0.635,11.035,0.01,-99999
6,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029660\RN29660_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029660/RN29660_induction_down.las,RN29660,626986,10,Top of casing Protector,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,500047.88399999996,8295266.378,Australian Height Datum,MGA94 Zone 52,top of casing protector,0.46,19.217,0.645,21.515,0.01,-99999
7,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029665\RN029665_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029665/RN029665_induction_down.las,RN029665,626987,10,Top of casing Protector,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,512860.0,8302461.0,GPS ellipsoid,MGA94 Zone 52,top of casing protector,0.4,47.0,0.645,18.495,0.01,-99999
8,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029653\RN029653_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029653/RN029653_induction_down.las,RN029653,626988,10,Top of casing Protector,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,514021.0,8301501.0,GPS ellipsoid,MGA94 Zone 52,top of casing protector,0.4,47.9,0.645,9.995,0.01,-99999
9,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN029656\RN029656_induction_down.las,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/RN029656/RN029656_induction_down.las,RN029656,626989,5,Top of bore casing,,"DEEP_INDUCTION,MEDIUM_INDUCTION",,,504845.0,8293381.0,Australian Height Datum,MGA94 Zone 52,top of casing,0.5,17.65,0.645,26.505,0.01,-99999
