prod_path,WELL,UWI,DEPTH_REFERENCE_ID,Reference Point,local_path,STEP,STRT,STOP,NULL,COMP,DATE,X,Y
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP32PB\10WP32PB_conductivity_down.las,10WP36PB,636196,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP32PB/10WP32PB_conductivity_down.las,0.01,0,20.69,-999.25,Geoscience Australia,28/10/2016,481885,8289569
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP36PB\10WP36PB_conductivity_down.las,10WP36PB_2,636200,10,top of casing protector,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP36PB/10WP36PB_conductivity_down.las,0.01,0,19.7,-999.25,Geoscience Australia,28/10/2016,481885,8289596
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP39\10WP39_conductivity_down.las,10WP39,636189,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP39/10WP39_conductivity_down.las,0.01,0,17.66,-999.25,Geoscience Australia,28/10/2016,486098,8295716
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP42\10WP42_conductivity_down.las,10WP42,636190,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP42/10WP42_conductivity_down.las,0.01,0,31.68,-999.25,Geoscience Australia,28/10/2016,487501,8295383
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP46\10WP46_conductivity_down.las,10WP46,636197,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP46/10WP46_conductivity_down.las,0.01,0,27.65,-999.25,Geoscience Australia,28/10/2016,486609,8295879
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\13BP01D\13BP01D_induction_down.las,13BP01D,627061,10,top of casing protector,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/13BP01D/13BP01D_induction_down.las,0,0.645,166.985,-99999,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP01I\17BP01I_induction_down_relogged.las,17BP01I,621622,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP01I/17BP01I_induction_down_relogged.las,0,0.635,126.005,-99999,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\17BP02I\17BP02-I_ind_down.LAS,17BP02-I,636187,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/17BP02I/17BP02-I_ind_down.LAS,0,0.645,129.505,-999.25,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP03I\17BP03I_induction_down_relogged_run6.las,17BP03I,621623,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP03I/17BP03I_induction_down_relogged_run6.las,0,0.635,48.005,-99999,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP04I\17BP04I_induction_down.las,17BP04I,621624,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP04I/17BP04I_induction_down.las,0,0.635,61.025,-99999,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP05I\17BP05I_induction_down.las,17BP05I,621625,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP05I/17BP05I_induction_down.las,0,0.6496,95.0096,-99999,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP06I\17BP06I_induction_down.las,17BP06I,627063,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP06I/17BP06I_induction_down.las,0,0.6454,103.0154,-99999,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP07D\17BP07D_induction_down.las,17BP07D,627064,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP07D/17BP07D_induction_down.las,0,0.645,78.495,-99999,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\18BP01D_RN039890\18BP01-D_ind_down.LAS,18BP01-D,635923,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/18BP01D_RN039890/18BP01-D_ind_down.LAS,0,0.645,250.015,-999.25,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\18BP07D_RN039888\18BP07-D_ind_down.LAS,18BP07-D,628981,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/18BP07D_RN039888/18BP07-D_ind_down.LAS,0,0.645,299.985,-999.25,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\18BP13D_RN039889\18BP13-D_ind_down.LAS,18BP13-D,635922,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/18BP13D_RN039889/18BP13-D_ind_down.LAS,0,0.645,297.985,-999.25,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\FW1\FW1mon_conductivity_down.las,FW1mon,636188,10,top of casing protector,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/FW1/FW1mon_conductivity_down.las,0.01,0,21.6,-999.25,Geoscience Australia,21/10/2016,470862,8268419
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC13\KC13_induction_down.las,KC13,636198,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/KC13/KC13_induction_down.las,0,0.635,31.985,-99999,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC14\KC14_induction_down.las,KC14,636201,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/KC14/KC14_induction_down.las,0,0.645,29.995,-99999,,,,
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC3PB\KC3PB_induction_down.las,KC3PB,636204,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/KC3PB/KC3PB_induction_down.las,0,0.645,30.995,-99999,,,,
