prod_path_las,WELL_las,UWI,DEPTH_REFERENCE_ID_las,Reference Point_las,local_path_las,STEP,STRT,STOP,NULL,COMP,DATE,X,Y,prod_path_oracle,WELL_oracle,DEPTH_REFERENCE_ID_oracle,Reference Point_oracle,local_path_oracle,BOREHOLE_NAME,ORIG_LON,ORIG_LAT,ORIG_Z,ORIG_SRID,ENO,COUNTRY,STATE,ELEVATION_VALUE,INPUT_UNCERTAINTY_Z,ELEVATION_UOM,ELEVATION_DATUM,ELEVATION_DATUM_CONFIDENCE,DEPTH_REFERENCE_TYPE,DEPTH_REFERENCE_DATUM,DEPTH_REFERENCE_HEIGHT,DEPTH_REFERENCE_UOM,ALTERNATE_NAMES,LOCATION_METHOD,GDA94_LONGITUDE,GDA94_LATITUDE,SRID,COORD_REF_SYS_NAME,DEPTH_REFERENCE_TYPE_ID,Orig_EPSG,Reference_datum_height_(mAGL),ground_elevation_(mAHD),projected_crs,easting,northing
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP32PB\10WP32PB_conductivity_down.las,10WP36PB,636196,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP32PB/10WP32PB_conductivity_down.las,0.01,0,20.69,-999.25,Geoscience Australia,28/10/2016,481885,8289569,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP32PB\10WP32PB_conductivity_down.las,10WP32PB,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP32PB/10WP32PB_conductivity_down.las,10WP32PB,486513.137,8290539.107,,82465,636196,AUS,WA,25.641,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.4,m,,GPS differential observation,128.8753129,-15.4609798,82465,MGA94 Zone 52,5,EPSG:28352,0.4,25.641,GDA94 / MGA zone 52,486624.3455,8290682.676
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP36PB\10WP36PB_conductivity_down.las,10WP36PB_2,636200,10,top of casing protector,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP36PB/10WP36PB_conductivity_down.las,0.01,0,19.7,-999.25,Geoscience Australia,28/10/2016,481885,8289596,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP36PB\10WP36PB_conductivity_down.las,10WP36PB,10,top of casing protector,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP36PB/10WP36PB_conductivity_down.las,81070001,481885,8289596,,81931,636200,AUS,WA,26.016,0.1,m,Australian Height Datum,known,top of casing protector,ground level,0.5,m,10WP36,digital elevation model,128.8321643,-15.4694405,81931,AMG Zone 52 (AGD 84),10,EPSG:20352,0.5,26.016,GDA94 / MGA zone 52,481996.3538,8289743.693
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP39\10WP39_conductivity_down.las,10WP39,636189,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP39/10WP39_conductivity_down.las,0.01,0,17.66,-999.25,Geoscience Australia,28/10/2016,486098,8295716,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP39\10WP39_conductivity_down.las,10WP39,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP39/10WP39_conductivity_down.las,10WP39,486098.168,8295716.033,,82465,636189,AUS,WA,23.257,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.72,m,,GPS differential observation,128.8714733,-15.414137,82465,MGA94 Zone 52,5,EPSG:28352,0.72,23.257,GDA94 / MGA zone 52,486209.3628,8295863.667
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP42\10WP42_conductivity_down.las,10WP42,636190,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP42/10WP42_conductivity_down.las,0.01,0,31.68,-999.25,Geoscience Australia,28/10/2016,487501,8295383,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP42\10WP42_conductivity_down.las,10WP42,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP42/10WP42_conductivity_down.las,10WP42,487500.84,8295383.694,,82465,636190,AUS,WA,22.867,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.56,m,,GPS differential observation,128.8845473,-15.4171548,82465,MGA94 Zone 52,5,EPSG:28352,0.56,22.867,GDA94 / MGA zone 52,487612.3553,8295530.666
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP46\10WP46_conductivity_down.las,10WP46,636197,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP46/10WP46_conductivity_down.las,0.01,0,27.65,-999.25,Geoscience Australia,28/10/2016,486609,8295879,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP46\10WP46_conductivity_down.las,10WP46,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/10WP46/10WP46_conductivity_down.las,10WP46,486593.359,8295887.04,,82465,636197,AUS,WA,22.991,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.44,m,,GPS differential observation,128.8762366,-15.4126661,82465,MGA94 Zone 52,5,EPSG:28352,0.44,22.991,GDA94 / MGA zone 52,486720.3619,8296026.661
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\13BP01D\13BP01D_induction_down.las,13BP01D,627061,10,top of casing protector,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/13BP01D/13BP01D_induction_down.las,0,0.645,166.985,-99999,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\13BP01D\13BP01D_induction_down.las,13BP01D,10,top of casing protector,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/13BP01D/13BP01D_induction_down.las,13BP01D,473886.62,8333260.73,,82465,627061,AUS,WA,84.04,0.1,m,Australian Height Datum,assumed,top of casing protector,ground level,0.73,m,,GPS differential observation,128.7570292,-15.0759335,82465,MGA94 Zone 52,10,EPSG:28352,0.73,84.04,GDA94 / MGA zone 52,473887.997,8333260.996
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP01I\17BP01I_induction_down_relogged.las,17BP01I,621622,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP01I/17BP01I_induction_down_relogged.las,0,0.635,126.005,-99999,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP01I\17BP01I_induction_down_relogged.las,17BP01I,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP01I/17BP01I_induction_down_relogged.las,17BP01I,478993.383,8335027.204,,82465,621622,AUS,WA,41.75,0.1,m,Australian Height Datum,assumed,top of casing,ground level,905,mm,,GPS differential observation,128.8045489,-15.0600109,82465,MGA94 Zone 52,5,EPSG:28352,0.905,41.75,GDA94 / MGA zone 52,478993.3832,8335027.208
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\17BP02I\17BP02-I_ind_down.LAS,17BP02-I,636187,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/17BP02I/17BP02-I_ind_down.LAS,0,0.645,129.505,-999.25,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\17BP02I\17BP02-I_ind_down.LAS,17BP02-I,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/17BP02I/17BP02-I_ind_down.LAS,RN039870,468839,8347946.281,,82465,636187,AUS,WA,44.489,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.6,m,17BP02I,GPS differential observation,128.7102279,-14.9431071,82465,MGA94 Zone 52,5,EPSG:28352,0.6,44.489,GDA94 / MGA zone 52,468838.9976,8347946.279
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP03I\17BP03I_induction_down_relogged_run6.las,17BP03I,621623,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP03I/17BP03I_induction_down_relogged_run6.las,0,0.635,48.005,-99999,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP03I\17BP03I_induction_down_relogged_run6.las,17BP03I,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP03I/17BP03I_induction_down_relogged_run6.las,17BP03I,469012.153,8340498.65,,82465,621623,AUS,WA,109.525,0.1,m,Australian Height Datum,assumed,top of casing,ground level,410,mm,,GPS differential observation,128.711748,-15.0104441,82465,MGA94 Zone 52,5,EPSG:28352,0.41,109.525,GDA94 / MGA zone 52,469012.1479,8340498.654
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP04I\17BP04I_induction_down.las,17BP04I,621624,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP04I/17BP04I_induction_down.las,0,0.635,61.025,-99999,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP04I\17BP04I_induction_down.las,17BP04I,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP04I/17BP04I_induction_down.las,17BP04I,462705.715,8344019.122,,82465,621624,AUS,WA,66.474,0.1,m,Australian Height Datum,assumed,top of casing,ground level,540,mm,,GPS differential observation,128.6531369,-14.9785335,82465,MGA94 Zone 52,5,EPSG:28352,0.54,66.474,GDA94 / MGA zone 52,462705.7099,8344019.117
