gamma_path,WELL,UWI,DEPTH_REFERENCE_ID,Reference Point,gamma_instrument,Columns,fitler1,filter1_min_window,filter1_window_size,min_depth,max_depth
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP32PB\10WP32PB_gamma_down.las,10WP32PB,636196,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,20.74
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP36PB\10WP36PB_gamma_down.las,10WP36PB,636200,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,20.37
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP39\10WP39_gamma_down.las,10WP39,636189,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,17.71
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP42\10WP42_gamma_down.las,10WP42,636190,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,31.73
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP46\10WP46_gamma_down.las,10WP46,636197,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,27.72
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\13BP01D\13BP01D_gamma_down_0p020_1p0mmin.las,13BP01D,627061,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8208,166.9808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP01I\17BP01I_gamma_down_relogged.las,17BP01I,621622,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8008,125.9908
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\17BP02I\17BP02-I_gamma_down.LAS,17BP02-I,636187,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,129.4808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP03I\17BP03I_gamma_down_relogged.las,17BP03I,621623,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8008,48.0108
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP04I\17BP04I_gamma_down.las,17BP04I,621624,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8008,61.0108
