induction_path,gamma_path,LOC,WELL,UWI,DEPTH_REFERENCE_ID,Reference Point,induction_instrument,gamma_instrument,BOREHOLE_NAME,ORIG_LON,ORIG_LAT,ORIG_Z,ORIG_SRID,ENO,COUNTRY,STATE,ELEVATION_VALUE,INPUT_UNCERTAINTY_Z,ELEVATION_UOM,ELEVATION_DATUM,ELEVATION_DATUM_CONFIDENCE,DEPTH_REFERENCE_TYPE,DEPTH_REFERENCE_DATUM,DEPTH_REFERENCE_HEIGHT,DEPTH_REFERENCE_UOM,ALTERNATE_NAMES,LOCATION_METHOD,GDA94_LONGITUDE,GDA94_LATITUDE,SRID,COORD_REF_SYS_NAME,DEPTH_REFERENCE_TYPE_ID,Reference_datum_height_(mAGL),ground_elevation_(mAHD),vertical_datum,projected_crs,easting,northing,geographic_crs,STRT_induction,STRT_gamma,STOP_induction,STOP_gamma,STEP_induction,STEP_gamma,NULL_induction,NULL_gamma,COMP_induction,COMP_gamma,WELL_induction,WELL_gamma,DATE_induction,DATE_gamma,UWI_induction,UWI_gamma,X_induction,X_gamma,Y_induction,Y_gamma,LONGI_induction,LONGI_gamma,LATI_induction,LATI_gamma,GDAT_induction,GDAT_gamma,HZCS_induction,HZCS_gamma,LMF_induction,LMF_gamma,APD_induction,APD_gamma,EPD_induction,EPD_gamma,PDAT_induction,PDAT_gamma,STAT_induction,STAT_gamma,CTRY_induction,CTRY_gamma,SRVC_induction,SRVC_gamma,LOC_induction,LOC_gamma,FLD_induction,FLD_gamma
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP32PB\10WP32PB_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP32PB\10WP32PB_gamma_down.las,East Kimberley,10WP32PB,636196,5,top of casing,A034 Induction Conductivity Probe,A031 Natural Gamma Probe,10WP32PB,486513.137,8290539.107,,82465,636196,AUS,WA,25.641,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.4,m,,GPS differential observation,128.8742754,-15.4622772,82465,MGA94 Zone 52,5,0.4,25.641,mAHD,GDA94 / MGA zone 52,486513.1328,8290539.106,GDA94,0,0,20.69,20.74,0.01,0.01,-999.25,-999.25,Geoscience Australia,Geoscience Australia,10WP36PB,10WP36PB,28/10/2016,28/10/2016,,,481885,481885,8289569,8289569,,,,,,,,,,,,,,,,,,,,,Heike and Robert Apps,Heike and Robert Apps,Ord,Ord,Weaber Plains,Weaber Plains
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP36PB\10WP36PB_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP36PB\10WP36PB_gamma_down.las,East Kimberley,10WP36PB,636200,10,top of casing protector,A034 Induction Conductivity Probe,A031 Natural Gamma Probe,81070001,481885,8289596,,81931,636200,AUS,WA,26.016,0.1,m,Australian Height Datum,known,top of casing protector,ground level,0.5,m,10WP36,digital elevation model,128.8321643,-15.4694405,81931,AMG Zone 52 (AGD 84),10,0.5,26.016,mAHD,GDA94 / MGA zone 52,481996.3538,8289743.693,GDA94,0,0,19.7,20.37,0.01,0.01,-999.25,-999.25,Geoscience Australia,Geoscience Australia,10WP36PB_2,10WP36PB_2,28/10/2016,28/10/2016,,,481885,481885,8289596,8289596,,,,,,,,,,,,,,,,,,,,,Heike and Robert Apps,Heike and Robert Apps,Ord,Ord,Weaber Plain,Weaber Plain
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP39\10WP39_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP39\10WP39_gamma_down.las,East Kimberley,10WP39,636189,5,top of casing,A034 Induction Conductivity Probe,A031 Natural Gamma Probe,10WP39,486098.168,8295716.033,,82465,636189,AUS,WA,23.257,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.72,m,,GPS differential observation,128.8704362,-15.4154711,82465,MGA94 Zone 52,5,0.72,23.257,mAHD,GDA94 / MGA zone 52,486098.1727,8295716.037,GDA94,0,0,17.66,17.72,0.01,0.01,-999.25,-999.25,Geoscience Australia,Geoscience Australia,10WP39,10WP39,28/10/2016,28/10/2016,,,486098,486098,8295716,8295716,,,,,,,,,,,,,,,,,,,,,Heike and Robert Apps,Heike and Robert Apps,Ord,Ord,Weaber Plains,Weaber Plains
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP42\10WP42_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP42\10WP42_gamma_down.las,East Kimberley,10WP42,636190,5,top of casing,A034 Induction Conductivity Probe,A031 Natural Gamma Probe,10WP42,487500.84,8295383.694,,82465,636190,AUS,WA,22.867,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.56,m,,GPS differential observation,128.8835072,-15.418483,82465,MGA94 Zone 52,5,0.56,22.867,mAHD,GDA94 / MGA zone 52,487500.8357,8295383.696,GDA94,0,0,31.68,31.73,0.01,0.01,-999.25,-999.25,Geoscience Australia,Geoscience Australia,10WP42,10WP42,28/10/2016,28/10/2016,,,487501,487501,8295383,8295383,,,,,,,,,,,,,,,,,,,,,Heike and Robert Apps,Heike and Robert Apps,Ord,Ord,Weaber Plains,Weaber Plains
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP46\10WP46_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\10WP46\10WP46_gamma_down.las,East Kimberley,10WP46,636197,5,top of casing,A034 Induction Conductivity Probe,A031 Natural Gamma Probe,10WP46,486593.359,8295887.04,,82465,636197,AUS,WA,22.991,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.44,m,,GPS differential observation,128.8750522,-15.4139277,82465,MGA94 Zone 52,5,0.44,22.991,mAHD,GDA94 / MGA zone 52,486593.3581,8295887.043,GDA94,0,0,27.65,27.72,0.01,0.01,-999.25,-999.25,Geoscience Australia,Geoscience Australia,10WP46,10WP46,28/10/2016,28/10/2016,,,486609,486609,8295879,8295879,,,,,,,,,,,,,,,,,,,,,Heike and Robert Apps,Heike and Robert Apps,Ord,Ord,Weaber Plain,Weaber Plain
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\FW1\FW1mon_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\FW1\FW1mon_gamma_down.las,East Kimberley,FW1,636188,10,top of casing protector,A034 Induction Conductivity Probe,A031 Natural Gamma Probe,FW1mon,470862,8268419,,81931,636188,AUS,WA,36.484,0.1,m,Australian Height Datum,known,top of casing protector,ground level,0.69,m,,digital elevation model,128.7291546,-15.6607923,81931,AMG Zone 52 (AGD 84),10,0.69,36.484,mAHD,GDA94 / MGA zone 52,470973.3484,8268566.781,GDA94,0,0,21.6,21.75,0.01,0.01,-999.25,-999.25,Geoscience Australia,Geoscience Australia,FW1mon,FW1mon,21/10/2016,21/10/2016,,,470862,470862,8268419,8268419,,,,,,,,,,,,,,,,,,,,,Heike and Robert Apps,Heike and Robert Apps,Ord,Ord,Kununurra,Kununurra
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\KC11\KC11_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\KC11\KC11_gamma_down.las,East Kimberley,KC11,636205,10,top of casing protector,A034 Induction Conductivity Probe,A031 Natural Gamma Probe,80918508,497425,8284141,,81931,636205,AUS,WA,21.163,0.1,m,Australian Height Datum,known,top of casing protector,ground level,1.04,m,KC11,digital elevation model,128.9770271,-15.5188208,81931,AMG Zone 52 (AGD 84),10,1.04,21.163,mAHD,GDA94 / MGA zone 52,497536.2973,8284288.673,GDA94,0,0,24.64,24.72,0.01,0.01,-999.25,-999.25,Geoscience Australia,Geoscience Australia,KC11,KC11,29/10/2016,29/10/2016,,,497425,497425,8284141,8284141,,,,,,,,,,,,,,,,,,,,,Heike and Robert Apps,Heike and Robert Apps,Keep,Keep,Carlton Hill,Carlton Hill
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Ord16\Ord16_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Ord16\Ord16_gamma_down.las,East Kimberley,Ord16,636191,10,top of casing protector,A034 Induction Conductivity Probe,A031 Natural Gamma Probe,80918500,499481,8278726,,81931,636191,AUS,WA,23.498,0.1,m,Australian Height Datum,known,top of casing protector,ground level,0.71,m,"KC10,Ord16",digital elevation model,128.9961973,-15.5677777,81931,AMG Zone 52 (AGD 84),10,0.71,23.498,mAHD,GDA94 / MGA zone 52,499592.28,8278873.689,GDA94,0,-0.01,23.18,23.25,0.01,0.01,-999.25,-999.25,Geoscience Australia,Geoscience Australia,Ord16,Ord16,27/10/2016,27/10/2016,,,499481,499481,8278726,8278726,,,,,,,,,,,,,,,,,,,,,Heike and Robert Apps,Heike and Robert Apps,Keep,Keep,Carlton Hill,Carlton Hill
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\RN030885\RN030885_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\RN030885\RN030885_gamma_down.las,East Kimberley,RN030885,636185,5,top of casing,A034 Induction Conductivity Probe,A031 Natural Gamma Probe,RN030885,499613.8,8274026.4,,81931,636185,AUS,WA,28.772,0.1,m,Australian Height Datum,known,top of casing,ground level,0.43,m,,digital elevation model,128.9974353,-15.6102655,81931,AMG Zone 52 (AGD 84),5,0.43,28.772,mAHD,GDA94 / MGA zone 52,499725.0731,8274174.105,GDA94,0,0,28.48,28.24,0.01,0.01,-999.25,-999.25,Geoscience Australia,Geoscience Australia,RN030885,RN030885,27/10/2016,27/10/2016,,,499585,499585,8274061,8274061,,,,,,,,,,,,,,,,,,,,,Heike and Robert Apps,Heike and Robert Apps,Keep,Keep,Carlton Hill,Carlton Hill
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Y10A_Ord40\Y10A_Ord40_conductivity_down.las,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Y10A_Ord40\Y10A_Ord40_gamma_down.las,East Kimberley,Ord40,636203,10,top of casing protector,A034 Induction Conductivity Probe,A031 Natural Gamma Probe,80918301,441916,8283743,,81931,636203,AUS,WA,7.073,0.1,m,Australian Height Datum,known,top of casing protector,ground level,0.87,m,"Ord40,Y10A",digital elevation model,128.4594319,-15.5217574,81931,AMG Zone 52 (AGD 84),10,0.87,7.073,mAHD,GDA94 / MGA zone 52,442027.4637,8283890.804,GDA94,0,0,14.18,14.24,0.01,0.01,-999.25,-999.25,Geoscience Australia,Geoscience Australia,Y10A_Ord40,Y10A_Ord40,31/10/2016,31/10/2016,,,441916,441916,8283743,8283743,,,,,,,,,,,,,,,,,,,,,Heike and Robert Apps,Heike and Robert Apps,Ord,Ord,Carlton Hill,Carlton Hill
